0,1,2,3,4,5,6,LABEL
8372,837,83,76-8499,00-9999,,,PROCEDURES
9878,987,980-98999,800-99999,001-99999,,,DISEASES AND INJURIES
8023,802,80,76-8499,00-9999,,,PROCEDURES
65513,6551,655,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
53370,5337,533,530-53999,520-57999,001-99999,,DISEASES AND INJURIES
V452,V45,V40-V4999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
85209,8520,852,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
2412,241,24,21-2999,00-9999,,,PROCEDURES
9035,903,90,87-9999,00-9999,,,PROCEDURES
7637,763,760-76399,760-77999,001-99999,,,DISEASES AND INJURIES
24281,2428,242,240-24699,240-27999,001-99999,,DISEASES AND INJURIES
E9100,E910,E910-E9159,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
74739,7473,747,740-75999,001-99999,,,DISEASES AND INJURIES
E9102,E910,E910-E9159,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
20490,2049,204,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
146,14,08-1699,00-9999,,,,PROCEDURES
88112,8811,881,880-88799,870-89799,800-99999,001-99999,DISEASES AND INJURIES
7162,716,71,65-7199,00-9999,,,PROCEDURES
2702,270,270-27999,240-27999,001-99999,,,DISEASES AND INJURIES
V603,V60,V60-V6999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1369,136,130-13699,001-13999,001-99999,,,DISEASES AND INJURIES
5632,563,56,55-5999,00-9999,,,PROCEDURES
V141,V14,V10-V1999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
3504,350,35,35-3999,00-9999,,,PROCEDURES
0119,011,01,01-0599,00-9999,,,PROCEDURES
610,61,60-6499,00-9999,,,,PROCEDURES
99686,9968,996,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
52541,5254,525,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
0221,022,02,01-0599,00-9999,,,PROCEDURES
81418,8141,814,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
8468,846,84,76-8499,00-9999,,,PROCEDURES
78949,7894,789,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
6079,607,60,60-6499,00-9999,,,PROCEDURES
8257,825,82,76-8499,00-9999,,,PROCEDURES
3762,376,37,35-3999,00-9999,,,PROCEDURES
2879,287,280-28999,001-99999,,,,DISEASES AND INJURIES
7810,781,78,76-8499,00-9999,,,PROCEDURES
7329,732,730-73999,710-73999,001-99999,,,DISEASES AND INJURIES
42989,4298,429,420-42999,390-45999,001-99999,,DISEASES AND INJURIES
20917,2091,209,209-20999,140-23999,001-99999,,DISEASES AND INJURIES
29535,2953,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
20915,2091,209,209-20999,140-23999,001-99999,,DISEASES AND INJURIES
V144,V14,V10-V1999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
