0,1,2,3,4,5,6
987.8,987,980-989.99,800-999.99,001-999.99,001-999.99,001-999.99
346.4,346,340-349.99,320-389.99,001-999.99,001-999.99,001-999.99
655.13,655.1,655,650-659.99,630-679.99,001-999.99,001-999.99
533.70,533.7,533,530-539.99,520-579.99,001-999.99,001-999.99
255.1,255,249-259.99,240-279.99,001-999.99,001-999.99,001-999.99
852.09,852.0,852,850-854.99,800-999.99,001-999.99,001-999.99
763.7,763,760-763.99,760-779.99,001-999.99,001-999.99,001-999.99
242.81,242.8,242,240-246.99,240-279.99,001-999.99,001-999.99
747.39,747.3,747,740-759.99,001-999.99,001-999.99,001-999.99
204.90,204.9,204,200-208.99,140-239.99,001-999.99,001-999.99
434.9,434,430-438.99,390-459.99,001-999.99,001-999.99,001-999.99
881.12,881.1,881,880-887.99,870-897.99,800-999.99,001-999.99
270.2,270,270-279.99,240-279.99,001-999.99,001-999.99,001-999.99
136.9,136,130-136.99,001-139.99,001-999.99,001-999.99,001-999.99
337.2,337,330-337.99,320-389.99,001-999.99,001-999.99,001-999.99
641.3,641,640-649.99,630-679.99,001-999.99,001-999.99,001-999.99
679,678-679.99,630-679.99,001-999.99,001-999.99,001-999.99,001-999.99
996.86,996.8,996,996-999.99,800-999.99,001-999.99,001-999.99
525.41,525.4,525,520-529.99,520-579.99,001-999.99,001-999.99
008.4,008,001-009.99,001-139.99,001-999.99,001-999.99,001-999.99
814.18,814.1,814,810-819.99,800-829.99,800-999.99,001-999.99
789.49,789.4,789,780-789.99,780-799.99,001-999.99,001-999.99
287.9,287,280-289.99,001-999.99,001-999.99,001-999.99,001-999.99
732.9,732,730-739.99,710-739.99,001-999.99,001-999.99,001-999.99
429.89,429.8,429,420-429.99,390-459.99,001-999.99,001-999.99
209.17,209.1,209,209-209.99,140-239.99,001-999.99,001-999.99
295.35,295.3,295,295-299.99,290-299.99,290-319.99,001-999.99
209.15,209.1,209,209-209.99,140-239.99,001-999.99,001-999.99
821.29,821.2,821,820-829.99,800-829.99,800-999.99,001-999.99
053,050-059.99,001-139.99,001-999.99,001-999.99,001-999.99,001-999.99
730.94,730.9,730,730-739.99,710-739.99,001-999.99,001-999.99
712.83,712.8,712,710-719.99,710-739.99,001-999.99,001-999.99
182.0,182,179-189.99,140-239.99,001-999.99,001-999.99,001-999.99
006.6,006,001-009.99,001-139.99,001-999.99,001-999.99,001-999.99
346.7,346,340-349.99,320-389.99,001-999.99,001-999.99,001-999.99
730.96,730.9,730,730-739.99,710-739.99,001-999.99,001-999.99
755.01,755.0,755,740-759.99,001-999.99,001-999.99,001-999.99
669.60,669.6,669,660-669.99,630-679.99,001-999.99,001-999.99
812.41,812.4,812,810-819.99,800-829.99,800-999.99,001-999.99
