0,1,2,3,4,5,6
83.72,83.7,83,76-84.99,00-99.99,00-99.99,00-99.99
80.23,80.2,80,76-84.99,00-99.99,00-99.99,00-99.99
24.12,24.1,24,21-29.99,00-99.99,00-99.99,00-99.99
90.35,90.3,90,87-99.99,00-99.99,00-99.99,00-99.99
14.6,14,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
71.62,71.6,71,65-71.99,00-99.99,00-99.99,00-99.99
56.32,56.3,56,55-59.99,00-99.99,00-99.99,00-99.99
80.3,80,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
35.04,35.0,35,35-39.99,00-99.99,00-99.99,00-99.99
01.19,01.1,01,01-05.99,00-99.99,00-99.99,00-99.99
61.0,61,60-64.99,00-99.99,00-99.99,00-99.99,00-99.99
02.21,02.2,02,01-05.99,00-99.99,00-99.99,00-99.99
84.68,84.6,84,76-84.99,00-99.99,00-99.99,00-99.99
60.79,60.7,60,60-64.99,00-99.99,00-99.99,00-99.99
82.57,82.5,82,76-84.99,00-99.99,00-99.99,00-99.99
37.62,37.6,37,35-39.99,00-99.99,00-99.99,00-99.99
78.10,78.1,78,76-84.99,00-99.99,00-99.99,00-99.99
02,01-05.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
91.75,91.7,91,87-99.99,00-99.99,00-99.99,00-99.99
56.92,56.9,56,55-59.99,00-99.99,00-99.99,00-99.99
89.18,89.1,89,87-99.99,00-99.99,00-99.99,00-99.99
76.45,76.4,76,76-84.99,00-99.99,00-99.99,00-99.99
35.07,35.0,35,35-39.99,00-99.99,00-99.99,00-99.99
33.99,33.9,33,30-34.99,00-99.99,00-99.99,00-99.99
93.8,93,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
98.23,98.2,98,87-99.99,00-99.99,00-99.99,00-99.99
66.1,66,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
97.43,97.4,97,87-99.99,00-99.99,00-99.99,00-99.99
44.12,44.1,44,42-54.99,00-99.99,00-99.99,00-99.99
78.13,78.1,78,76-84.99,00-99.99,00-99.99,00-99.99
20.39,20.3,20,18-20.99,00-99.99,00-99.99,00-99.99
90.95,90.9,90,87-99.99,00-99.99,00-99.99,00-99.99
79.0,79,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
78.2,78,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
21.7,21,21-29.99,00-99.99,00-99.99,00-99.99,00-99.99
90.82,90.8,90,87-99.99,00-99.99,00-99.99,00-99.99
01.6,01,01-05.99,00-99.99,00-99.99,00-99.99,00-99.99
96.28,96.2,96,87-99.99,00-99.99,00-99.99,00-99.99
78.70,78.7,78,76-84.99,00-99.99,00-99.99,00-99.99
35.51,35.5,35,35-39.99,00-99.99,00-99.99,00-99.99
20.96,20.9,20,18-20.99,00-99.99,00-99.99,00-99.99
33.20,33.2,33,30-34.99,00-99.99,00-99.99,00-99.99
26.29,26.2,26,21-29.99,00-99.99,00-99.99,00-99.99
38.39,38.3,38,35-39.99,00-99.99,00-99.99,00-99.99
87.01,87.0,87,87-99.99,00-99.99,00-99.99,00-99.99
53.00,53.0,53,42-54.99,00-99.99,00-99.99,00-99.99
89.65,89.6,89,87-99.99,00-99.99,00-99.99,00-99.99
35.54,35.5,35,35-39.99,00-99.99,00-99.99,00-99.99
85.20,85.2,85,85-86.99,00-99.99,00-99.99,00-99.99
85.36,85.3,85,85-86.99,00-99.99,00-99.99,00-99.99
51.35,51.3,51,42-54.99,00-99.99,00-99.99,00-99.99
01.53,01.5,01,01-05.99,00-99.99,00-99.99,00-99.99
14.41,14.4,14,08-16.99,00-99.99,00-99.99,00-99.99
77.58,77.5,77,76-84.99,00-99.99,00-99.99,00-99.99
38.9,38,35-39.99,00-99.99,00-99.99,00-99.99,00-99.99
61.91,61.9,61,60-64.99,00-99.99,00-99.99,00-99.99
07.5,07,06-07.99,00-99.99,00-99.99,00-99.99,00-99.99
42.61,42.6,42,42-54.99,00-99.99,00-99.99,00-99.99
19.6,19,18-20.99,00-99.99,00-99.99,00-99.99,00-99.99
76.62,76.6,76,76-84.99,00-99.99,00-99.99,00-99.99
93.3,93,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
15.21,15.2,15,08-16.99,00-99.99,00-99.99,00-99.99
49.22,49.2,49,42-54.99,00-99.99,00-99.99,00-99.99
73.2,73,72-75.99,00-99.99,00-99.99,00-99.99,00-99.99
86.7,86,85-86.99,00-99.99,00-99.99,00-99.99,00-99.99
27.91,27.9,27,21-29.99,00-99.99,00-99.99,00-99.99
08.61,08.6,08,08-16.99,00-99.99,00-99.99,00-99.99
39.79,39.7,39,35-39.99,00-99.99,00-99.99,00-99.99
41,40-41.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
38.99,38.9,38,35-39.99,00-99.99,00-99.99,00-99.99
07.59,07.5,07,06-07.99,00-99.99,00-99.99,00-99.99
33.39,33.3,33,30-34.99,00-99.99,00-99.99,00-99.99
94.11,94.1,94,87-99.99,00-99.99,00-99.99,00-99.99
69.95,69.9,69,65-71.99,00-99.99,00-99.99,00-99.99
07.81,07.8,07,06-07.99,00-99.99,00-99.99,00-99.99
07,06-07.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
02.34,02.3,02,01-05.99,00-99.99,00-99.99,00-99.99
84.65,84.6,84,76-84.99,00-99.99,00-99.99,00-99.99
85.83,85.8,85,85-86.99,00-99.99,00-99.99,00-99.99
51.82,51.8,51,42-54.99,00-99.99,00-99.99,00-99.99
80.36,80.3,80,76-84.99,00-99.99,00-99.99,00-99.99
51.13,51.1,51,42-54.99,00-99.99,00-99.99,00-99.99
17.7,17,17-17.99,00-99.99,00-99.99,00-99.99,00-99.99
04.8,04,01-05.99,00-99.99,00-99.99,00-99.99,00-99.99
16.9,16,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
42.52,42.5,42,42-54.99,00-99.99,00-99.99,00-99.99
20.61,20.6,20,18-20.99,00-99.99,00-99.99,00-99.99
54.62,54.6,54,42-54.99,00-99.99,00-99.99,00-99.99
51.79,51.7,51,42-54.99,00-99.99,00-99.99,00-99.99
31.69,31.6,31,30-34.99,00-99.99,00-99.99,00-99.99
81.35,81.3,81,76-84.99,00-99.99,00-99.99,00-99.99
27.22,27.2,27,21-29.99,00-99.99,00-99.99,00-99.99
96.06,96.0,96,87-99.99,00-99.99,00-99.99,00-99.99
