0,1,2,3,4,5,6
E910.0,E910,E910-E915.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E910.2,E910,E910-E915.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E951.0,E951,E950-E959.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E957.0,E957,E950-E959.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E888.8,E888,E880-E888.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E800.0,E800,E800-E807.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E800.2,E800,E800-E807.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E950.8,E950,E950-E959.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E806.2,E806,E800-E807.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E840.8,E840,E840-E845.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E840.6,E840,E840-E845.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E934.3,E934,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E934.5,E934,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E860.1,E860,E860-E869.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E872.3,E872,E870-E876.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E866.8,E866,E860-E869.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E866.6,E866,E860-E869.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E000.2,E000,E000-E000.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E934.8,E934,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E927.2,E927,E916-E928.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E927.4,E927,E916-E928.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E829.4,E829,E826-E829.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E945.5,E945,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E945.3,E945,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E996.1,E996,E990-E999.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E006.4,E006,E001-E030.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E930.0,E930,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E820.0,E820,E820-E825.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E860.4,E860,E860-E869.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E826.2,E826,E826-E829.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E826.0,E826,E826-E829.9,E800-E848.9,E000-E999.9,E000-E999.9,E000-E999.9
E885.9,E885,E880-E888.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E994.9,E994,E990-E999.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E953.9,E953,E950-E959.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E007.1,E007,E001-E030.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E945.8,E945,E930-E949.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E850.1,E850,E850-E858.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
E863.9,E863,E860-E869.9,E000-E999.9,E000-E999.9,E000-E999.9,E000-E999.9
