0,1,2,3,4,5,6
V45.2,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V60.3,V60,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V14.1,V14,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V14.4,V14,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V03.1,V03,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V71.6,V71,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.62,V13.6,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.64,V13.6,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V60.6,V60,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V71.9,V71,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V06.5,V06,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.87,V23.8,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.85,V23.8,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.31,V58.3,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V90.81,V90.8,V90,V90-V90.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.44,V76.4,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V25.41,V25.4,V25,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V45.59,V45.5,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.23,V13.2,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.20,V10.2,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.5,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.22,V10.2,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V88.21,V88.2,V88,V88-V88.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.26,V54.2,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V56.2,V56,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.0,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.9,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.67,V13.6,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.11,V61.1,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V07.59,V07.5,V07,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.41,V72.4,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.41,V61.4,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.0,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V18.2,V18,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V73.6,V73,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.77,V58.7,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.75,V58.7,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V62.6,V62,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V52.1,V52,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V69.8,V69,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.5,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V44.2,V44,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.3,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V91.19,V91.1,V91,V91-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V27.7,V27,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.1,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.4,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V25.9,V25,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.51,V76.5,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.4,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V19.8,V19,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.09,V15.0,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
