Frekvens,0,Total rows,Probability,IC,PARENT_IC,INDEX,Constant,ENCODE
12053,4019,503609,0.023933249802922506,3.7324865817307447,20.349994313463434,1.0,0.01,20.359994313463435
10876,42731,503609,0.021596119211531168,3.835241646566727,9.796987914569371,1.0,0.01,9.80698791456937
10350,4280,503609,0.020551658131606067,3.8848136536255735,16.321221925384716,1.0,0.01,16.331221925384718
8543,5849,503609,0.016963557045247404,4.07668793916747,28.376706877000622,1.0,0.01,28.386706877000623
8264,2724,503609,0.016409555826047587,4.109891441519614,17.759914257166045,1.0,0.01,17.769914257166047
7283,51881,503609,0.014461616055312753,4.236257308101173,30.626111399088455,1.0,0.01,30.636111399088456
6366,5990,503609,0.012640759001526978,4.3708288444770504,36.55608968035122,1.0,0.01,36.56608968035122
6268,41401,503609,0.012446163591198727,4.386342848843177,40.84846356691426,1.0,0.01,40.85846356691426
5605,99592,503609,0.011129666070304542,4.498141116812828,37.2746155395965,1.0,0.01,37.2846155395965
5286,25000,503609,0.010496238153011563,4.556738357154854,30.40379167362901,1.0,0.01,30.41379167362901
5156,2762,503609,0.01023810138420878,4.581639088260011,44.6913536405144,1.0,0.01,44.7013536405144
4962,2449,503609,0.009852881898456938,4.619991288067342,50.13945108956611,1.0,0.01,50.14945108956611
4923,53081,503609,0.009775440867816104,4.627882072560888,52.376877294871136,1.0,0.01,52.386877294871134
4735,2859,503609,0.009402135386778235,4.66681844669891,25.442017502541567,1.0,0.01,25.45201750254157
4318,2851,503609,0.008574112059157004,4.759007841244336,25.442017502541567,2.0,0.01,25.462017502541567
4193,40390,503609,0.008325903627615868,4.788383705148326,10.216738976609967,1.0,0.01,10.226738976609967
3866,5070,503609,0.007676590370704257,4.869579792550812,14.597937863207745,1.0,0.01,14.607937863207745
3832,0389,503609,0.007609077677325067,4.878413313228338,37.386352709979434,1.0,0.01,37.39635270997943
3701,2761,503609,0.007348955241069957,4.913197119932932,44.6913536405144,2.0,0.01,44.7113536405144
3655,486,503609,0.007257614538262819,4.925704080135209,23.134111603303086,1.0,0.01,23.144111603303088
3550,5859,503609,0.007049119455768265,4.954852569849627,39.791215719534954,1.0,0.01,39.80121571953495
3502,5845,503609,0.006953807418056468,4.968465939473291,28.376706877000622,2.0,0.01,28.39670687700062
3471,311,503609,0.006892251727034266,4.977357436457302,17.413765708216445,1.0,0.01,17.423765708216447
